NM_MUN,date,precipitation,SIGLA_UF,Lat,Long
Barra do Turvo,2024-01-31,"56,4246521",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-30,"41,7957077",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-29,"55,68638992",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-28,"31,56162834",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-27,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-26,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-25,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-24,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-23,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-22,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-21,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-20,"41,79366302",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-19,"34,58751678",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-18,"24,84035492",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-17,"62,2555275",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-16,"30,2320137",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-15,"20,30806923",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-14,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-13,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-12,"50,54515076",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-11,"31,75814056",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-10,"32,18806076",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-09,"40,2632637",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-08,"21,12752724",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-07,"23,61559868",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-05,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-04,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2024-01-03,0,SP,"-24,88874209","-48,42697368"
